Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27154333,01/15/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11212,Closed
27127873,01/10/2014 12:10:47 PM,02/10/2014 12:00:00 AM,DOB,Department of Buildings,Special Enforcement,SEP - Professional Certification Compliance Audit,10309,Closed
27151112,01/15/2014 03:07:00 PM,01/15/2014 04:35:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11205,Closed
27082858,01/07/2014 12:00:00 AM,01/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11225,Closed
27259889,01/25/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27149908,01/14/2014 12:00:00 AM,01/21/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11201,Closed
27179765,01/17/2014 05:10:54 PM,01/23/2014 12:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,10314,Closed
27083996,01/07/2014 12:00:00 AM,01/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10467,Closed
27155879,01/15/2014 12:13:00 PM,01/15/2014 01:50:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,11225,Closed
27221743,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10466,Closed
27153872,01/15/2014 12:00:00 AM,01/17/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11207,Closed
27049842,01/03/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11104,Closed
27262062,01/27/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11367,Closed
27234302,01/23/2014 08:01:00 PM,01/24/2014 12:00:00 PM,DSNY,BCC - Queens East,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11435,Closed
27251867,01/24/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11691,Open
27141523,01/13/2014 10:57:14 AM,01/27/2014 03:25:05 PM,DOT,Department of Transportation,Street Condition,Defective Hardware,10035,Closed
27117098,01/10/2014 09:47:57 PM,01/23/2014 10:25:44 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Unlicensed,10021,Closed
27283285,01/29/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,11421,Closed
27283685,01/29/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10467,Closed
27256123,01/25/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27251739,01/26/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11220,Closed
27266191,01/26/2014 01:42:53 PM,01/27/2014 11:25:00 AM,DOT,Department of Transportation,Street Condition,Pothole,10032,Closed
27061780,01/05/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10457,Closed
27283539,01/29/2014 12:00:00 AM,02/03/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11355,Closed
27069556,01/06/2014 10:46:44 AM,,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,10038,Assigned
27255190,01/25/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10014,Closed
27272120,01/27/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10033,Closed
27072417,01/05/2014 12:41:38 AM,01/05/2014 05:00:00 PM,DOT,Department of Transportation,Street Condition,Pothole,10025,Closed
27150214,01/15/2014 11:48:47 AM,01/16/2014 09:02:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11429,Closed
27101283,01/08/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10035,Open
27253050,01/24/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27114062,01/09/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10032,Closed
27220597,01/22/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,11208,Closed
27229009,01/23/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10010,Closed
27209293,01/21/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10011,Closed
27033596,01/02/2014 12:00:00 AM,01/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11229,Closed
27135596,01/13/2014 08:56:28 AM,,DOT,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,11204,Assigned
27025350,01/01/2014 04:10:00 PM,01/01/2014 05:05:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Post,,Closed
27274237,01/28/2014 12:00:00 AM,02/01/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10034,Closed
27255069,01/25/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MAIL-BOX,10468,Open
27264904,01/27/2014 11:10:42 AM,01/27/2014 11:10:42 AM,DOT,Department of Transportation,Street Condition,Pothole,11224,Closed
27080468,01/07/2014 02:05:00 PM,01/07/2014 02:05:00 PM,DOT,Department of Transportation,Street Light Condition,Time Clock Maladjusted,,Closed
27092352,01/08/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11203,Closed
27095136,01/08/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27239644,01/23/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27031898,01/02/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11233,Closed
27045116,01/03/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11235,Closed
27051590,01/04/2014 03:22:42 PM,01/06/2014 10:05:00 AM,DOT,Department of Transportation,Street Condition,Pothole,10312,Closed
27205271,01/21/2014 09:12:50 AM,01/21/2014 10:25:53 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11373,Closed
27267177,01/27/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11213,Closed
27108798,01/09/2014 03:28:00 PM,01/11/2014 10:20:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,11421,Closed
27248981,01/26/2014 06:46:00 AM,01/26/2014 06:50:00 AM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11215,Closed
27052773,01/04/2014 09:41:00 PM,01/04/2014 09:41:00 PM,DSNY,BCC - Queens East,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11361,Closed
27117427,01/10/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27303929,01/31/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,11435,Closed
27047650,01/03/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10459,Closed
27114563,01/09/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB,10453,Closed
27200916,01/21/2014 12:00:00 AM,02/18/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11221,Closed
27283536,01/29/2014 12:00:00 AM,02/01/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11207,Closed
27145685,01/14/2014 01:01:18 PM,02/13/2014 10:16:08 AM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Ventilation,11203,Closed
27125650,01/11/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10452,Closed
27260010,01/24/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10452,Closed
27253236,01/25/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11206,Closed
27252983,01/24/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11216,Closed
27107529,01/09/2014 12:00:00 AM,01/19/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11249,Closed
27256669,01/26/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11229,Closed
27065759,01/05/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11224,Closed
27289687,01/29/2014 05:19:00 PM,01/29/2014 05:19:00 PM,DSNY,BCC - Brooklyn South,Derelict Vehicles,14 Derelict Vehicles,11234,Pending
27133464,01/12/2014 10:25:04 PM,01/13/2014 01:51:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10460,Closed
27268907,01/27/2014 02:17:17 PM,01/27/2014 02:18:15 PM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,,Closed
27197084,01/20/2014 12:33:28 PM,01/20/2014 01:08:13 PM,NYPD,New York City Police Department,Vending,Unlicensed,10001,Closed
27185801,01/18/2014 12:00:00 AM,01/20/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10030,Closed
27216555,01/22/2014 04:40:00 PM,01/23/2014 12:00:00 PM,DSNY,A - Brooklyn,Snow,E9 Snow / Icy Sidewalk,11204,Closed
27184397,01/18/2014 11:08:01 AM,01/18/2014 01:16:49 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,11208,Closed
27092960,01/08/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10466,Closed
27140803,01/13/2014 10:26:00 AM,01/13/2014 10:26:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),11220,Closed
27292523,01/30/2014 03:24:00 PM,03/14/2014 11:29:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,Closed
27133938,01/13/2014 08:25:43 AM,,DSNY,Department of Sanitation,Graffiti,Graffiti,11211,Open
27145743,01/13/2014 10:42:20 AM,03/14/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,11419,Closed
27293408,01/30/2014 07:15:00 AM,01/31/2014 12:00:00 PM,DSNY,BCC - Queens East,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11422,Closed
27197101,01/20/2014 03:30:27 PM,01/21/2014 07:23:30 AM,DOF,Department of Finance,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,,Closed
27152210,01/15/2014 02:50:00 PM,01/21/2014 10:30:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11693,Closed
27048807,01/03/2014 11:18:00 AM,01/03/2014 08:30:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),11226,Closed
27103818,01/08/2014 09:25:33 AM,01/08/2014 05:43:24 PM,NYPD,New York City Police Department,Animal Abuse,Other (complaint details),11221,Closed
27050583,01/04/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10032,Closed
27147784,01/14/2014 12:00:00 AM,01/15/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10463,Closed
27101476,01/08/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10458,Closed
27148599,01/14/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,LOCKS,11226,Closed
27096686,01/08/2014 03:14:00 PM,01/19/2014 08:05:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,11368,Closed
27060732,01/05/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10465,Closed
27100370,01/08/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,10463,Closed
27222290,01/22/2014 12:00:00 AM,02/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,11103,Closed
27054334,01/04/2014 04:50:00 PM,01/05/2014 09:35:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,Closed
27078487,01/07/2014 12:00:00 AM,01/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB,10040,Closed
27156215,01/15/2014 03:17:29 PM,,DSNY,Department of Sanitation,Graffiti,Graffiti,11220,Open
27305432,01/31/2014 12:00:00 AM,02/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11208,Closed
27118057,01/10/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11221,Closed
27221040,01/22/2014 03:20:10 PM,01/23/2014 06:57:15 AM,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,Closed
27198977,01/21/2014 08:22:00 AM,01/21/2014 10:35:00 AM,DOT,Department of Transportation,Traffic Signal Condition,Controller,10468,Closed
27118589,01/10/2014 07:51:00 AM,01/13/2014 03:45:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",10467,Closed
27051978,01/04/2014 01:40:00 PM,01/06/2014 12:00:00 PM,DSNY,A - Manhattan,Snow,E9 Snow / Icy Sidewalk,10037,Closed
27128197,01/12/2014 01:28:27 AM,01/15/2014 02:51:57 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,10301,Closed
27287036,01/29/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11212,Closed
27180144,01/17/2014 12:06:00 PM,01/17/2014 12:06:00 PM,DSNY,BCC - Queens West,Request Xmas Tree Collection,C1 Request Xmas Trees Collection,11385,Closed
27298134,01/30/2014 12:00:00 AM,02/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10453,Closed
27095622,01/08/2014 02:37:00 PM,01/08/2014 03:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),10456,Closed
27270313,01/27/2014 07:34:25 PM,01/27/2014 08:12:46 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11229,Closed
27251801,01/26/2014 12:00:00 AM,02/19/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,10466,Closed
27025310,01/01/2014 12:00:00 AM,01/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11385,Closed
27190591,01/19/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11210,Closed
27189433,01/19/2014 12:38:00 PM,01/19/2014 12:50:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11101,Closed
27281451,01/28/2014 09:07:52 PM,01/28/2014 11:27:03 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,10303,Closed
27295601,01/30/2014 11:56:51 AM,01/30/2014 02:51:09 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,11229,Closed
27194928,01/20/2014 12:51:00 PM,01/23/2014 01:17:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,11204,Closed
27109100,01/09/2014 02:48:00 PM,01/11/2014 12:00:00 PM,DSNY,BCC - Brooklyn South,Snow,15I Street Condition Ice-Non Storm,11230,Closed
